date,region,instance_type,purchase_type,number_of_cpus,usage_hours,total_cost,cost_per_hour
2024-12-08,us-east-1,r6i.2xlarge,On Demand,8,1.0,0.504,0.504
2024-12-08,us-east-1,r6i.2xlarge,Savings Plans,8,23.0,11.592,0.504
2024-12-09,us-east-1,m6g.2xlarge,Savings Plans,8,48.0,14.784,0.308
2024-12-09,us-east-1,m6g.4xlarge,Savings Plans,16,24.0,14.784,0.616
2024-12-09,us-east-1,m6i.4xlarge,Savings Plans,16,24.0,18.432,0.7679999999999999
2024-12-09,us-east-1,r5.2xlarge,On Demand,8,24.0,12.096,0.504
2024-12-09,us-east-1,r5.2xlarge,Savings Plans,8,24.0,12.096,0.504
2024-12-09,us-east-1,r6i.2xlarge,On Demand,8,13.0,6.552,0.504
2024-12-09,us-east-1,r6i.2xlarge,Savings Plans,8,11.0,5.544,0.504
2024-12-10,us-east-1,m6g.2xlarge,Savings Plans,8,48.0,14.784,0.308
2024-12-10,us-east-1,m6g.4xlarge,Savings Plans,16,24.0,14.784,0.616
2024-12-10,us-east-1,m6i.4xlarge,Savings Plans,16,24.0,18.432,0.7679999999999999
2024-12-10,us-east-1,r5.2xlarge,On Demand,8,27.0,13.608,0.504
2024-12-10,us-east-1,r5.2xlarge,Savings Plans,8,21.0,10.584,0.504
2024-12-10,us-east-1,r6i.2xlarge,On Demand,8,14.0,7.056,0.504
2024-12-10,us-east-1,r6i.2xlarge,Savings Plans,8,10.0,5.04,0.504
2024-12-11,us-east-1,m6g.2xlarge,Savings Plans,8,48.0,14.784,0.308
2024-12-11,us-east-1,m6g.4xlarge,Savings Plans,16,24.0,14.784,0.616
2024-12-11,us-east-1,m6i.4xlarge,Savings Plans,16,24.0,18.432,0.7679999999999999
2024-12-11,us-east-1,r5.2xlarge,On Demand,8,22.0,11.088,0.504
2024-12-11,us-east-1,r5.2xlarge,Savings Plans,8,26.0,13.104,0.504
2024-12-11,us-east-1,r6i.2xlarge,On Demand,8,12.0,6.048,0.504
2024-12-11,us-east-1,r6i.2xlarge,Savings Plans,8,12.0,6.048,0.504
2024-12-12,us-east-1,m6g.2xlarge,Savings Plans,8,48.0,14.784,0.308
2024-12-12,us-east-1,m6g.4xlarge,Savings Plans,16,24.0,14.784,0.616
2024-12-12,us-east-1,m6i.4xlarge,Savings Plans,16,24.0,18.432,0.7679999999999999
2024-12-12,us-east-1,r5.2xlarge,On Demand,8,18.0,9.072,0.504
2024-12-12,us-east-1,r5.2xlarge,Savings Plans,8,30.0,15.12,0.504
2024-12-12,us-east-1,r6i.2xlarge,On Demand,8,11.0,5.544,0.504
2024-12-12,us-east-1,r6i.2xlarge,Savings Plans,8,13.0,6.552,0.504
2024-12-13,us-east-1,m6g.2xlarge,Savings Plans,8,48.0,14.784,0.308
2024-12-13,us-east-1,m6g.4xlarge,Savings Plans,16,24.0,14.784,0.616
2024-12-13,us-east-1,m6i.4xlarge,Savings Plans,16,24.0,18.432,0.7679999999999999
2024-12-13,us-east-1,r5.2xlarge,On Demand,8,2.0,1.008,0.504
2024-12-13,us-east-1,r5.2xlarge,Savings Plans,8,46.0,23.184,0.504
2024-12-13,us-east-1,r6i.2xlarge,On Demand,8,1.0,0.504,0.504
2024-12-13,us-east-1,r6i.2xlarge,Savings Plans,8,23.0,11.592,0.504
2024-12-14,us-east-1,m6g.2xlarge,Savings Plans,8,48.0,14.784,0.308
2024-12-14,us-east-1,m6g.4xlarge,Savings Plans,16,24.0,14.784,0.616
2024-12-14,us-east-1,m6i.4xlarge,Savings Plans,16,24.0,18.432,0.7679999999999999
2024-12-14,us-east-1,r5.2xlarge,Savings Plans,8,48.0,24.192,0.504
2024-12-14,us-east-1,r6i.2xlarge,On Demand,8,1.0,0.504,0.504
2024-12-14,us-east-1,r6i.2xlarge,Savings Plans,8,23.0,11.592,0.504
2024-12-15,us-east-1,m6g.2xlarge,Savings Plans,8,45.0,13.86,0.308
2024-12-15,us-east-1,m6g.4xlarge,Savings Plans,16,22.0,13.552,0.616
2024-12-15,us-east-1,m6i.4xlarge,Savings Plans,16,22.0,16.896,0.768
2024-12-15,us-east-1,r5.2xlarge,On Demand,8,6.0,3.024,0.504
2024-12-15,us-east-1,r5.2xlarge,Savings Plans,8,38.0,19.152,0.504
2024-12-15,us-east-1,r6i.2xlarge,On Demand,8,4.0,2.016,0.504
2024-12-15,us-east-1,r6i.2xlarge,Savings Plans,8,18.0,9.072,0.504
